,Left_Z[N],Right_Z[N]
1096, 17.2, -22.5
1097, 17.2, -22.5
1098, 17.2, -22.5
1099, 17.2, -22.5
1100, 17.2, -22.5
1101, 17.2, -22.4
1102, 17.2, -22.4
1103, 17.2, -22.4
1104, 17.2, -22.4
1105, 17.2, -22.4
1106, 17.2, -22.5
1107, 17.2, -22.5
1108, 17.2, -22.5
1109, 17.2, -22.5
1110, 17.2, -22.5
1111, 17.2, -22.5
1112, 17.2, -22.5
1113, 17.2, -22.5
1114, 17.2, -22.5
1115, 17.2, -22.5
1116, 17.2, -22.5
1117, 17.2, -22.5
1118, 17.2, -22.5
1119, 17.2, -22.5
1120, 17.2, -22.5
1121, 17.2, -22.5
1122, 17.2, -22.5
1123, 17.2, -22.5
1124, 17.2, -22.6
1125, 17.2, -22.6
1126, 17.2, -22.6
1127, 17.2, -22.6
1128, 17.2, -22.6
1129, 17.2, -22.6
1130, 17.2, -22.6
1131, 17.2, -22.6
1132, 17.2, -22.5
1133, 17.2, -22.5
1134, 17.2, -22.5
1135, 17.2, -22.5
1136, 17.2, -22.5
1137, 17.2, -22.5
1138, 17.2, -22.6
1139, 17.2, -22.6
1140, 17.2, -22.6
1141, 17.2, -22.6
1142, 17.2, -22.6
1143, 17.2, -22.6
1144, 17.2, -22.6
